,iata_code,latitude_deg,longitude_deg,timezone,municipality,display_label,airport_name
0,EVV,38.0369987488,-87.5324020386,America/Chicago,Evansville,EVV (Evansville),Evansville Regional Airport
1,CDV,60.491798,-145.477997,America/Anchorage,Cordova,CDV (Cordova),Merle K (Mudhole) Smith Airport
2,HDN,40.481201,-107.218002,America/Denver,Hayden,HDN (Hayden),Yampa Valley Airport
3,JAC,43.6073,-110.737999,America/Denver,Jackson,JAC (Jackson),Jackson Hole Airport
4,HPN,41.06700134277344,-73.70760345458984,America/New_York,White Plains,HPN (White Plains),Westchester County Airport
5,DDC,37.76340103149414,-99.9655990600586,America/Chicago,Dodge City,DDC (Dodge City),Dodge City Regional Airport
6,MCO,28.429399490356445,-81.30899810791016,America/New_York,Orlando,MCO (Orlando),Orlando International Airport
7,TOL,41.5868,-83.8078,America/New_York,Toledo,TOL (Toledo),Eugene F. Kranz Toledo Express Airport
8,SYR,43.11119842529297,-76.1063003540039,America/New_York,Syracuse,SYR (Syracuse),Syracuse Hancock International Airport
9,LRD,27.5438,-99.461601,America/Chicago,Laredo,LRD (Laredo),Laredo International Airport
10,SWF,41.50421,-74.108901,America/New_York,Newburgh,SWF (Newburgh),New York Stewart International Airport
11,PLN,45.57089996,-84.79669952,America/Detroit,Pellston,PLN (Pellston),Pellston Regional Airport of Emmet County Airport
12,MFR,42.374199,-122.873001,America/Los_Angeles,Medford,MFR (Medford),Rogue Valley International-Medford Airport
13,TLH,30.401209,-84.35433,America/New_York,Tallahassee,TLH (Tallahassee),Tallahassee International Airport
14,FLL,26.072599,-80.152702,America/New_York,Fort Lauderdale,FLL (Fort Lauderdale),Fort Lauderdale Hollywood International Airport
15,DTW,42.21377,-83.353786,America/Detroit,Detroit,DTW (Detroit),Detroit Metropolitan Wayne County Airport
16,ELP,31.809908,-106.375607,America/Denver,El Paso,ELP (El Paso),El Paso International Airport
17,ROC,43.1189,-77.672401,America/New_York,Rochester,ROC (Rochester),Frederick Douglass Greater Rochester International Airport
18,CLT,35.2140007019043,-80.94309997558594,America/New_York,Charlotte,CLT (Charlotte),Charlotte Douglas International Airport
19,GST,58.4253006,-135.7070007,America/Juneau,Gustavus,GST (Gustavus),Gustavus Airport
20,BLV,38.5452,-89.835197,America/Chicago,Belleville,BLV (Belleville),Scott AFB/Midamerica Airport
21,SAT,29.533701,-98.469803,America/Chicago,San Antonio,SAT (San Antonio),San Antonio International Airport
22,JAN,32.311199,-90.075897,America/Chicago,Jackson,JAN (Jackson),Jackson-Medgar Wiley Evers International Airport
23,MGW,39.643305,-79.917598,America/New_York,Morgantown,MGW (Morgantown),Morgantown Municipal Airport Walter L. (Bill) Hart Field
24,SCE,40.849374,-77.84852,America/New_York,State College,SCE (State College),State College Regional Airport
25,STT,18.337091,-64.977251,America/St_Thomas,Charlotte Amalie,STT (Charlotte Amalie),Cyril E. King Airport
26,MHK,39.14099884033203,-96.6707992553711,America/Chicago,Manhattan,MHK (Manhattan),Manhattan Regional Airport
27,OKC,35.393388,-97.598248,America/Chicago,Oklahoma City,OKC (Oklahoma City),OKC Will Rogers World Airport
28,RIC,37.505199,-77.319702,America/New_York,Richmond,RIC (Richmond),Richmond International Airport
29,IDA,43.514599,-112.070999,America/Boise,Idaho Falls,IDA (Idaho Falls),Idaho Falls Regional Airport
30,BUR,34.202834,-118.35805,America/Los_Angeles,Burbank,BUR (Burbank),Hollywood Burbank/Bob Hope Airport
31,SJT,31.35770034790039,-100.49600219726562,America/Chicago,San Angelo,SJT (San Angelo),San Angelo Regional Mathis Field
32,SAV,32.126591,-81.19998,America/New_York,Savannah,SAV (Savannah),Savannah Hilton Head International Airport
33,LAS,36.083361,-115.151817,America/Los_Angeles,Las Vegas,LAS (Las Vegas),Harry Reid International Airport
34,SGF,37.245047,-93.388596,America/Chicago,Springfield,SGF (Springfield),Springfield Branson National Airport
35,CHS,32.896159,-80.038151,America/New_York,Charleston,CHS (Charleston),Charleston International Airport
36,ITO,19.72135,-155.045428,Pacific/Honolulu,Hilo,ITO (Hilo),Hilo International Airport
37,GNV,29.6900997162,-82.2717971802,America/New_York,Gainesville,GNV (Gainesville),Gainesville Regional Airport
38,FOD,42.552624,-94.191237,America/Chicago,Fort Dodge,FOD (Fort Dodge),Fort Dodge Regional Airport
