ORIGIN,DEST,CRS_ELAPSED_TIME,DISTANCE
ABE,BNA,126.0,684.0
ABE,CLT,112.0,481.0
ABE,DEN,235.0,1539.0
ABE,FLL,174.5,1041.0
ABE,MCO,159.0,906.0
ABE,MLB,144.0,914.0
ABE,MYR,100.0,518.0
ABE,ORD,152.0,654.0
ABE,PGD,177.0,1018.0
ABE,PIE,166.0,970.0
ABE,RSW,175.0,1038.0
ABE,SFB,146.0,882.0
ABE,SRQ,167.0,1000.0
ABI,DFW,61.0,158.0
ABQ,ATL,185.0,1269.0
ABQ,AUS,105.0,619.0
ABQ,BNA,160.0,1123.0
ABQ,BUR,130.0,672.0
ABQ,BWI,220.0,1670.0
ABQ,CLT,211.0,1449.0
ABQ,DAL,105.0,580.0
ABQ,DEN,85.0,349.0
ABQ,DFW,110.0,569.0
ABQ,HOU,125.0,759.0
ABQ,IAD,225.0,1628.0
ABQ,IAH,128.0,744.0
ABQ,JFK,251.0,1826.0
ABQ,LAS,100.0,486.0
ABQ,LAX,133.0,677.0
ABQ,LGB,120.0,664.0
ABQ,MCI,115.0,718.0
ABQ,MCO,217.5,1553.0
ABQ,MDW,160.0,1121.0
ABQ,MSP,155.0,981.0
ABQ,OAK,145.0,889.0
ABQ,ORD,179.0,1118.0
ABQ,PHL,245.0,1747.0
ABQ,PHX,85.0,328.0
ABQ,SAN,115.0,628.0
ABQ,SAT,100.0,609.0
ABQ,SEA,198.0,1180.0
ABQ,SFO,165.0,896.0
ABQ,SLC,108.0,493.0
ABR,MSP,78.0,257.0
ABY,ATL,69.0,145.0
ACK,BOS,57.0,91.0
ACK,CLT,145.0,723.0
ACK,DCA,101.0,405.0
ACK,HPN,64.0,191.0
ACK,JFK,74.5,199.0
ACK,LGA,76.0,202.0
ACK,ORD,185.0,924.0
ACK,PHL,90.0,288.0
ACT,DFW,62.0,89.0
ACV,DEN,164.0,1026.0
ACV,LAX,116.0,577.0
ACV,SFO,78.0,250.0
ACY,FLL,162.0,977.0
ACY,MCO,154.0,852.0
ACY,MIA,165.0,998.0
ACY,MYR,90.0,466.0
ACY,PBI,157.5,936.0
ACY,RSW,169.0,982.0
ACY,TPA,161.0,914.0
ADK,ANC,168.5,1192.0
ADQ,ANC,58.0,253.0
AEX,ATL,108.0,500.0
AEX,DFW,84.0,285.0
AGS,ATL,67.0,143.0
AGS,CLT,72.0,140.0
AGS,DCA,101.5,468.0
AGS,DFW,169.0,874.0
AGS,MIA,106.0,531.0
AGS,ORD,143.0,677.0
AGS,PHL,122.5,583.0
AKN,ANC,71.0,288.0
ALB,ATL,160.0,853.0
ALB,BNA,141.0,825.0
ALB,BWI,80.0,288.0
ALB,CLT,136.0,646.0
ALB,DCA,98.0,318.0
ALB,DEN,250.0,1610.0
ALB,DFW,240.0,1435.0
ALB,DTW,110.0,489.0
ALB,EWR,82.0,143.0
ALB,FLL,200.0,1204.0
ALB,LAS,325.0,2237.0
ALB,MCO,185.0,1073.0
ALB,MDW,130.0,717.0
ALB,MYR,127.0,685.0
ALB,ORD,159.0,723.0
ALB,PGD,204.0,1185.0
ALB,PIE,189.0,1138.0
ALB,SFB,174.0,1049.0
ALB,SRQ,195.0,1167.0
ALB,TPA,190.0,1130.0
ALO,ORD,82.0,234.0
AMA,AUS,80.0,419.0
AMA,DAL,75.0,323.0
AMA,DEN,97.0,359.0
AMA,DFW,77.0,312.0
AMA,HOU,105.0,537.0
AMA,IAH,116.0,517.0
AMA,LAS,135.0,758.0
ANC,ADK,195.5,1192.0
ANC,ADQ,63.0,253.0
ANC,AKN,69.0,288.0
ANC,ATL,411.0,3417.0
ANC,BET,82.0,399.0
ANC,BRW,120.0,725.0
ANC,CDV,54.0,160.0
ANC,DEN,317.0,2405.0
ANC,DFW,390.0,3043.0
ANC,DLG,75.0,329.0
ANC,DTW,375.0,2986.0
ANC,EWR,420.0,3370.0
ANC,FAI,65.0,261.0
ANC,HNL,374.0,2777.0
ANC,IAD,417.0,3356.0
